lat,lng,time,license,model,engine,chassis
18.6035983,73.7576216,2018-09-09T09:00:26+05:30,ADTEST1,MITSUBISHI,1DZ0037452,839F23-23616
18.6035983,73.7576216,2018-09-09T09:01:26+05:30,ADTEST1,MITSUBISHI,1DZ0037452,839F23-23616
18.6035983,73.7576216,2018-09-09T09:02:26+05:30,ADTEST1,MITSUBISHI,1DZ0037452,839F23-23616
18.6035983,73.7576216,2018-09-09T09:03:26+05:30,ADTEST1,MITSUBISHI,1DZ0037452,839F23-23616
18.6035983,73.7576216,2018-09-09T09:04:26+05:30,ADTEST1,MITSUBISHI,1DZ0037452,839F23-23616
18.6035983,73.7576216,2018-09-09T09:05:26+05:30,ADTEST1,MITSUBISHI,1DZ0037452,839F23-23616
18.6035983,73.7576216,2018-09-09T09:06:26+05:30,ADTEST1,MITSUBISHI,1DZ0037452,839F23-23616
18.6035983,73.7576216,2018-09-09T09:07:26+05:30,ADTEST1,MITSUBISHI,1DZ0037452,839F23-23616
18.6035983,73.7576216,2018-09-09T09:08:26+05:30,ADTEST1,MITSUBISHI,1DZ0037452,839F23-23616
18.6035983,73.7576216,2018-09-09T09:09:26+05:30,ADTEST1,MITSUBISHI,1DZ0037452,839F23-23616
18.6035983,73.7576216,2018-09-09T09:10:26+05:30,ADTEST1,MITSUBISHI,1DZ0037452,839F23-23616
18.6035983,73.7576216,2018-09-09T09:11:26+05:30,ADTEST1,MITSUBISHI,1DZ0037452,839F23-23616
18.6035983,73.7576216,2018-09-09T09:12:26+05:30,ADTEST1,MITSUBISHI,1DZ0037452,839F23-23616
18.6035983,73.7576216,2018-09-09T09:13:26+05:30,ADTEST1,MITSUBISHI,1DZ0037452,839F23-23616
18.6035983,73.7576216,2018-09-09T09:14:26+05:30,ADTEST1,MITSUBISHI,1DZ0037452,839F23-23616
18.6035983,73.7576216,2018-09-09T09:15:26+05:30,ADTEST1,MITSUBISHI,1DZ0037452,839F23-23616
18.6035983,73.7576216,2018-09-09T09:16:26+05:30,ADTEST1,MITSUBISHI,1DZ0037452,839F23-23616
18.6035983,73.7576216,2018-09-09T09:17:26+05:30,ADTEST1,MITSUBISHI,1DZ0037452,839F23-23616
18.6035983,73.7576216,2018-09-09T09:18:26+05:30,ADTEST1,MITSUBISHI,1DZ0037452,839F23-23616
18.6035983,73.7576216,2018-09-09T09:19:26+05:30,ADTEST1,MITSUBISHI,1DZ0037452,839F23-23616
