lat,lng,license,time,model,engine,chassis
15.495075,73.8257916,ADTEST2,2018-09-11T10:47:41+05:30,TOYOTA,1HQ0039202,606F30-98714
,,ADTEST2,2018-09-11T10:46:41+05:30,TOYOTA,1HQ0039202,606F30-98714
15.495075,73.8257916,ADTEST2,2018-09-11T10:45:41+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4949516,73.8258883,ADTEST2,2018-09-11T10:45:28+05:30,TOYOTA,1HQ0039202,606F30-98714
,,ADTEST2,2018-09-11T10:44:58+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4942266,73.8247883,ADTEST2,2018-09-11T10:44:28+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4945466,73.82522,ADTEST2,2018-09-11T10:43:58+05:30,TOYOTA,1HQ0039202,606F30-98714
15.49506,73.8260683,ADTEST2,2018-09-11T10:43:28+05:30,TOYOTA,1HQ0039202,606F30-98714
,,ADTEST2,2018-09-11T10:42:29+05:30,TOYOTA,1HQ0039202,606F30-98714
15.49506,73.8260683,ADTEST2,2018-09-11T10:41:29+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4942866,73.8249883,ADTEST2,2018-09-11T10:41:21+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4943316,73.8250833,ADTEST2,2018-09-11T10:40:51+05:30,TOYOTA,1HQ0039202,606F30-98714
15.493905,73.82462,ADTEST2,2018-09-11T10:40:21+05:30,TOYOTA,1HQ0039202,606F30-98714
15.493905,73.82462,ADTEST2,2018-09-11T10:40:01+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4935083,73.8241066,ADTEST2,2018-09-11T10:39:52+05:30,TOYOTA,1HQ0039202,606F30-98714
,,ADTEST2,2018-09-11T10:39:22+05:30,TOYOTA,1HQ0039202,606F30-98714
,,ADTEST2,2018-09-11T10:38:52+05:30,TOYOTA,1HQ0039202,606F30-98714
,,ADTEST2,2018-09-11T10:38:43+05:30,TOYOTA,1HQ0039202,606F30-98714
,,ADTEST2,2018-09-11T10:38:19+05:30,TOYOTA,1HQ0039202,606F30-98714
,,ADTEST2,2018-09-11T10:37:49+05:30,TOYOTA,1HQ0039202,606F30-98714
,,ADTEST2,2018-09-11T10:37:19+05:30,TOYOTA,1HQ0039202,606F30-98714
15.49515,73.82595,ADTEST2,2018-09-11T10:36:49+05:30,TOYOTA,1HQ0039202,606F30-98714
15.49515,73.82595,ADTEST2,2018-09-11T10:36:43+05:30,TOYOTA,1HQ0039202,606F30-98714
15.49515,73.82595,ADTEST2,2018-09-11T10:35:43+05:30,TOYOTA,1HQ0039202,606F30-98714
,,ADTEST2,2018-09-11T10:35:31+05:30,TOYOTA,1HQ0039202,606F30-98714
,,ADTEST2,2018-09-11T10:35:01+05:30,TOYOTA,1HQ0039202,606F30-98714
,,ADTEST2,2018-09-11T10:34:31+05:30,TOYOTA,1HQ0039202,606F30-98714
,,ADTEST2,2018-09-11T10:34:30+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4951616,73.82646,ADTEST2,2018-09-11T10:33:30+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4951616,73.82646,ADTEST2,2018-09-11T10:32:30+05:30,TOYOTA,1HQ0039202,606F30-98714
,,ADTEST2,2018-09-11T10:31:30+05:30,TOYOTA,1HQ0039202,606F30-98714
,,ADTEST2,2018-09-11T10:30:30+05:30,TOYOTA,1HQ0039202,606F30-98714
,,ADTEST2,2018-09-11T10:29:30+05:30,TOYOTA,1HQ0039202,606F30-98714
,,ADTEST2,2018-09-11T10:29:18+05:30,TOYOTA,1HQ0039202,606F30-98714
,,ADTEST2,2018-09-11T10:28:48+05:30,TOYOTA,1HQ0039202,606F30-98714
,,ADTEST2,2018-09-11T10:28:18+05:30,TOYOTA,1HQ0039202,606F30-98714
,,ADTEST2,2018-09-11T10:28:13+05:30,TOYOTA,1HQ0039202,606F30-98714
,,ADTEST2,2018-09-11T10:27:13+05:30,TOYOTA,1HQ0039202,606F30-98714
,,ADTEST2,2018-09-11T10:27:05+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4951616,73.82646,ADTEST2,2018-09-11T10:26:35+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4953366,73.82625,ADTEST2,2018-09-11T10:26:05+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4953366,73.82625,ADTEST2,2018-09-11T10:25:27+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4953366,73.82625,ADTEST2,2018-09-11T10:24:27+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4953366,73.82625,ADTEST2,2018-09-11T10:23:27+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4953366,73.82625,ADTEST2,2018-09-11T10:22:27+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4953366,73.82625,ADTEST2,2018-09-11T10:21:27+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4953366,73.82625,ADTEST2,2018-09-11T10:20:27+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4953366,73.82625,ADTEST2,2018-09-11T10:19:27+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4953366,73.82625,ADTEST2,2018-09-11T10:18:27+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4953366,73.82625,ADTEST2,2018-09-11T10:17:27+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4953366,73.82625,ADTEST2,2018-09-11T10:16:27+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4953366,73.82625,ADTEST2,2018-09-11T10:15:27+05:30,TOYOTA,1HQ0039202,606F30-98714
15.49535,73.8262683,ADTEST2,2018-09-11T10:15:16+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4953116,73.82635,ADTEST2,2018-09-11T10:14:46+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4951149,73.8261183,ADTEST2,2018-09-11T10:14:16+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4951149,73.8261183,ADTEST2,2018-09-11T10:13:29+05:30,TOYOTA,1HQ0039202,606F30-98714
15.4951966,73.82623,ADTEST2,2018-09-11T10:13:10+05:30,TOYOTA,1HQ0039202,606F30-98714
